local_index_1based,local_index_0based,neuron_id,celltype,side,additional_annotations,level_7_cluster,is_orn,is_left_orn,is_right_orn,is_mbon,is_left_mbon,is_right_mbon
135,134,7065182,LN,right,CN-20,75,0,0,0,0,0,0
136,135,7092417,PN,left,47a&33b PN; uPN; olfactory 2nd_order PN,12,0,0,0,0,0,0
137,136,7107433,PN,left,45b PN; uPN; olfactory 2nd_order PN,12,0,0,0,0,0,0
138,137,7187384,KC,left,KC,40,0,0,0,0,0,0
139,138,7196392,KC,right,KC,42,0,0,0,0,0,0
140,139,7198338,PN,left,24a PN; uPN; olfactory 2nd_order PN,12,0,0,0,0,0,0
141,140,7394271,LN,left,no official annotation,10,0,0,0,0,0,0
142,141,7503199,PN,right,mPN; mPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN; gustatory-pharyngeal 2nd_order PN,22,0,0,0,0,0,0
143,142,7515491,PN,left,49a PN; uPN; olfactory 2nd_order PN,12,0,0,0,0,0,0
144,143,7527710,sensory,left,olfactory,1,1,1,0,0,0,0
145,144,7542938,sensory,left,olfactory,1,1,1,0,0,0,0
146,145,7563413,LN,right,no official annotation,3,0,0,0,0,0,0
147,146,7582412,LN,left,no official annotation,28,0,0,0,0,0,0
148,147,7600311,LN,right,no official annotation,10,0,0,0,0,0,0
149,148,7658146,sensory,right,olfactory,2,1,0,1,0,0,0
150,149,7690945,KC,right,KC,33,0,0,0,0,0,0
151,150,7719547,sensory,right,olfactory,2,1,0,1,0,0,0
152,151,7786053,KC,right,KC,30,0,0,0,0,0,0
153,152,7802210,MBON,left,MBON-i1,59,0,0,0,1,1,0
154,153,7828725,KC,right,KC,33,0,0,0,0,0,0
155,154,7829784,KC,right,KC,33,0,0,0,0,0,0
156,155,7838405,KC,right,KC,42,0,0,0,0,0,0
157,156,7840203,KC,right,KC,33,0,0,0,0,0,0
158,157,7840791,MBON,right,MBON-e1,64,0,0,0,1,0,1
159,158,7843730,PN,left,74a PN; uPN; olfactory 2nd_order PN,12,0,0,0,0,0,0
160,159,7845346,PN,left,63a PN; uPN; olfactory 2nd_order PN,12,0,0,0,0,0,0
161,160,7851153,PN,left,82a PN; uPN; olfactory 2nd_order PN,12,0,0,0,0,0,0
162,161,7852250,PN,left,45a PN; uPN; olfactory 2nd_order PN,12,0,0,0,0,0,0
163,162,7864823,PN,left,59a PN; uPN; olfactory 2nd_order PN,12,0,0,0,0,0,0
164,163,7865652,PN,left,22c PN; uPN; olfactory 2nd_order PN,12,0,0,0,0,0,0
165,164,7865696,PN,left,1a PN; uPN; olfactory 2nd_order PN,12,0,0,0,0,0,0
166,165,7865767,PN,left,83a PN; uPN; olfactory 2nd_order PN,12,0,0,0,0,0,0
167,166,7868195,KC,right,KC,30,0,0,0,0,0,0
168,167,7873135,PN,left,42b PN; uPN; olfactory 2nd_order PN,12,0,0,0,0,0,0
169,168,7891312,KC,right,KC,33,0,0,0,0,0,0
170,169,7897469,MBON,right,MBON-q1,64,0,0,0,1,0,1
171,170,7910624,MBON,left,MBON-q1,64,0,0,0,1,1,0
172,171,7916593,PN,left,30a PN; uPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN,12,0,0,0,0,0,0
